Название (Аббр.): Проверка работы плеера (ПРП),,,
Описание:,,,
Статус: Не согласован,,,
Проверка корректной работы плеера,,,
,,,
№,Приоритет,Проверка,Результат
1,Средний,Плеер успешно загружается на странице.,Плеер загрузился на странице.
2,Средний,Видео успешно отображается в плеере.,Видео отобразилось в плеере.
3,Средний,"Видео воспроизводится при нажатии на кнопку ""Смотреть"".",Видео воспроизвелось.
4,Средний,"Видео останавливается при нажатии на кнопку ""Пауза"".",Видео остановилось.
5,Средний,"Видео переключается на следующее при нажатии кнопки ""Следующее"" или комбинации клавиш Shift+n",Видео переключилось на следующее.
6,Средний,"Кнопка ""Регулировки громкости"" позволяет изменять громкость видео.",Громкость видео изменена.
7,Средний,"Кнопка ""Автовоспроизведение"" переключает режим автоматического воспроизведения.",Режим автоматического воспроизведения активирован.
,,,
Проверка субтитров,,,
,,,
№,Приоритет,Проверка,Результат
8,Средний,"Кнопка ""Субтитры"" включает и выключает субтитры на видео.",Субтитры включились/выключились.
,,,
Проверка настроек скорости воспроизведения,,,
,,,
№,Приоритет,Проверка,Результат
9,Средний,"В меню ""Настройки"" доступны опции для изменения скорости воспроизведения.","В меню ""Настройки"" отображаются опции для изменения скорости видео."
10,Средний,"Выбор скорости воспроизведения (0.25x, 0.5x, 0.75x, 1x, 1.25x, 1.5x, 1.75x, 2x) корректно влияет на воспроизведение видео.",Видео успешно воспроизводится.
11,Средний,"В меню ""Скорость воспроизведения"" доступна опция скорости ""Другая""","Опция скорости ""Другая"" доступна."
12,Средний,"Выбор скорости воспроизведения в опции ""Другая"" (0.4х, 0.9х,1.8, 1.9 х) корректно влияет на воспроизведение видео.",Видео успешно воспроизводится.
,,,
Проверка настроек аннотаций,,,
,,,
№,Приоритет,Проверка,Результат
13,Средний,"В меню ""Настройки"" доступны опции для изменения аннотаций.","В меню ""Настройки"" можно поменять аннотации к видео."
14,Средний,"Кнопка ""Аннотации"" включает и выключает аннотации к видео.",Аннотации видео включаются/выключаются.
,,,
Проверка настроек субтитров,,,
,,,
№,Приоритет,Проверка,Результат
15,Средний,"В меню ""Настройки"" доступны опции для изменения субтитров.",В меню настройки можно изменить субтитры.
16,Средний,"Выбор субтитров (Выкл, Русский, Перевести) корректно включает и отображает выбранный тип субтитров.",Видео с субтитрами успешно воспроизводится.
17,Средний,"В меню ""Субтитры"" доступна опция ""Параметры""","Опция ""Параметры"" доступна в меню ""Субтитры""."
,,,
Проверка настроек качества,,,
,,,
№,Приоритет,Проверка,Результат
18,Средний,"В меню ""Настройки"" доступны опции для изменения качества видео.","В меню ""Настройки"" можно изменить качество видео."
19,Средний,"Выбор качества (2160p, 1440p, 720p, 480p, 360p, 240p, 144p, Автонастройка) корректно изменяет качество воспроизведения видео.",Видео успешно воспроизводится с выбранным качеством.
,,,
Проверка режимов экрана,,,
,,,
№,Приоритет,Проверка,Результат
20,Средний,"Кнопка ""Широкий экран"" корректно переключает видео в режим широкого экрана.",Режим видео успешно переключен. Видео воспроизводится.
21,Средний,"Кнопка ""Режим просмотра"" по умолчанию переключает видео в стандартный режим.",Режим видео успешно переключен. Видео воспроизводится.
22,Средний,"Кнопка ""Мини-проигрыватель"" (i) переключает видео в режим мини.",Режим видео успешно переключен. Видео воспроизводится.
23,Средний,"Кнопка ""Развернуть"" (i) переключает видео в стандартный режим.",Режим видео успешно переключен. Видео воспроизводится.
24,Средний,"Кнопка ""Во весь экран"" корректно переключает видео в полноэкранный режим.",Режим видео успешно переключен. Видео воспроизводится.
25,Средний,"Кнопка ""Выход из полноэкранного режима"" переключает видео в стандартный режим.",Режим видео успешно переключен. Видео воспроизводится.
,,,
Особые проверки,,,
,,,
№,Приоритет,Проверка,Результат
26,Средний,"Видео продолжает воспроизводиться корректно при смене настроек (громкость, скорость, субтитры, качество).",Видео корректно воспроиводится.
27,Средний,Возможность воспроизведения следующего видео при достижении конца текущего.,Видео переключается на следующее.
